company_id,company_name,broad_sector,sub_sector,year,net_profit_margin_pct_final,operating_profit_margin_pct_final,return_on_equity_pct_final,return_on_assets_pct,return_on_capital_employed_pct,debt_to_equity_final,interest_coverage_final,debt_to_assets_pct,borrowings_to_equity_pct,asset_turnover_final,sales_to_assets,sales_to_fixed_assets,free_cash_flow_cr_final,cash_from_operations_cr_final,fcf_margin_pct,cfo_to_net_profit,capex_to_sales_pct,pe_ratio_final,pb_ratio_final,ev_ebitda_final,dividend_yield_pct_final,market_cap_crore_final,enterprise_value_crore_final,earnings_per_share_final,book_value_per_share_final,dividend_payout_ratio_pct_final,sales_growth_pct,net_profit_growth_pct,eps_growth_pct,market_cap_growth_pct,total_assets_final,total_liabilities_final,reserves_final,borrowings_final,health_score,health_band
ABB,Abbott India Ltd,Industrials,Capital Goods,2012-12,8.77,12.0,22.41,15.986769570011026,31.221020092735703,0.0,,0.0,0.0,1.8225,1.822491730981257,15.1651376146789,42.0,101.0,2.540834845735027,0.696551724137931,3.569267997580157,,,,,,,68.0,3.081,25.0,,,,,907.0,907.0,626.0,0.0,50.0,Average
ABB,Abbott India Ltd,Industrials,Capital Goods,2014-03,8.7,12.0,25.13,17.383669885864794,33.88324873096447,0.0,,0.0,0.0,1.9982,1.9982440737489024,23.224489795918366,11.0,155.0,0.4833040421792618,0.7828282828282829,6.32688927943761,,,,,,,93.0,3.7524,25.0,37.68905021173623,36.55172413793104,36.76470588235294,,1139.0,1139.0,767.0,0.0,50.0,Average
ABB,Abbott India Ltd,Industrials,Capital Goods,2015-03,10.0,14.0,24.44,16.666666666666664,33.26226012793177,0.0,,0.0,0.0,1.6659,1.665938864628821,23.84375,28.0,215.0,1.2232415902140672,0.9388646288209607,8.169506334643948,,,,,,,108.0,4.4619,29.0,0.5711775043936829,15.656565656565657,16.129032258064523,,1374.0,1374.0,916.0,0.0,50.0,Average
ABB,Abbott India Ltd,Industrials,Capital Goods,2016-03,9.76,14.0,21.34,15.77970297029703,30.543933054393307,0.0,138.3333,0.0,0.0,1.6176,1.6175742574257426,24.203703703703702,172.0,249.0,6.5799540933435345,0.9764705882352941,2.9456771231828616,,,,,,,120.0,5.6905,29.0,14.19833988641328,11.353711790393017,11.111111111111116,,1616.0,1616.0,1174.0,0.0,46.8,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2017-03,9.54,14.0,19.97,13.407550822846078,28.69502523431867,0.0,227.5,0.0,0.0,1.4051,1.40513068731849,26.39090909090909,152.0,307.0,5.235962797106442,1.108303249097473,5.339304168101963,,,,,,,130.0,6.6048,31.0,11.05585309869932,8.627450980392148,8.333333333333325,,2066.0,2066.0,1366.0,0.0,46.92,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2018-03,12.16,16.0,23.69,16.5976821192053,31.010041346721795,0.0,160.5,0.0,0.0,1.3651,1.365066225165563,40.71604938271605,-62.0,153.0,-1.879927228623408,0.38154613466334164,6.519102486355368,,,,,,,189.0,8.0619,29.0,13.60661384774371,44.7653429602888,45.38461538461538,,2416.0,2416.0,1672.0,0.0,46.83,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2019-03,12.23,16.0,22.41,15.300918055083304,30.11448481831757,0.0,359.0,0.0,0.0,1.2509,1.2509350561033663,35.03809523809524,242.0,499.0,6.577874422397391,1.1088888888888888,6.985593911388964,,,,,,,212.0,9.5619,31.0,11.552456033959979,12.219451371571077,12.169312169312164,,2941.0,2941.0,1987.0,0.0,47.11,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2020-03,14.49,18.0,24.39,16.718353538201296,29.037207518220175,0.072,96.7778,4.93374682830561,7.1986836692719045,1.1539,1.153932901043135,15.15925925925926,225.0,626.0,5.497190324945028,1.0556492411467115,9.79721475690203,,,,,,,279.0,11.5762,90.0,11.25305789616744,31.77777777777777,31.60377358490567,,3547.0,3547.0,2410.0,175.0,46.75,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2021-03,16.03,21.0,26.56,17.994791666666668,33.47857661583152,0.0588,55.7222,3.9843749999999996,5.8800922367409685,1.1224,1.1223958333333333,17.171314741035857,655.0,727.0,15.19721577726218,1.0520984081041969,1.6705336426914155,,,,,,,325.0,12.3905,85.0,5.301734668946989,16.526138279932546,16.48745519713262,,3840.0,3840.0,2581.0,153.0,46.71,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2022-03,16.26,22.0,28.33,18.915719696969695,36.418714237630425,0.0539,61.3158,3.5984848484848486,5.390070921985815,1.1631,1.1631155303030303,18.129151291512915,552.0,948.0,11.23549765927132,1.1864831038798498,8.0602483207816,,,,,,,376.0,13.4286,73.0,13.990719257540608,15.629522431259035,15.692307692307693,,4224.0,4224.0,2799.0,152.0,46.71,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2023-03,17.74,23.0,29.77,20.82967515364355,36.52331920048456,0.0354,85.0,2.4802458296751535,3.544542032622334,1.1741,1.1740561896400352,22.569620253164558,745.0,893.0,13.927836978874556,0.9409905163329821,2.766872312581791,,,,,,,447.0,15.181,73.0,8.874414817830246,18.77346683354193,18.882978723404253,,4556.0,4556.0,3167.0,113.0,46.76,Weak
ABB,Abbott India Ltd,Industrials,Capital Goods,2024-03,20.53,25.0,32.47,23.127286732139417,38.41882601797991,0.0224,141.75,1.5983054111303678,2.2438496891051636,1.1263,1.1263238975544,25.995555555555555,797.0,1213.0,13.626260899299025,1.009991673605329,7.112326893486067,,,,,,,565.0,17.6143,73.0,9.347541596560106,26.55426765015807,26.39821029082774,,5193.0,5193.0,3678.0,83.0,46.84,Weak
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Power & Utilities,2014-03,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,0.1,,,,,,0.0,0.0,0.0,0.0,50.0,Average
