company_id,company_name,broad_sector,sub_sector,year,net_profit_margin_pct_final,operating_profit_margin_pct_final,return_on_equity_pct_final,return_on_assets_pct,return_on_capital_employed_pct,debt_to_equity_final,interest_coverage_final,debt_to_assets_pct,borrowings_to_equity_pct,asset_turnover_final,sales_to_assets,sales_to_fixed_assets,free_cash_flow_cr_final,cash_from_operations_cr_final,fcf_margin_pct,cfo_to_net_profit,capex_to_sales_pct,pe_ratio_final,pb_ratio_final,ev_ebitda_final,dividend_yield_pct_final,market_cap_crore_final,enterprise_value_crore_final,earnings_per_share_final,book_value_per_share_final,dividend_payout_ratio_pct_final,sales_growth_pct,net_profit_growth_pct,eps_growth_pct,market_cap_growth_pct,total_assets_final,total_liabilities_final,reserves_final,borrowings_final,health_score,health_band
LICI,Life Insurance Corporation of India,Financials,Life Insurance,2024-03,4.84,4.0,49.45,0.7696696436280568,39.61352073186944,0.0,371.9375,0.0,0.0,0.1591,0.1591344094587576,40.93317849712101,853.0,26122.0,0.1008314754966511,0.6384299540522045,2.986999477520373,,,,,,,66.0,1.3083,15.0,7.817462542759124,13.665027641192328,1.538461538461533,,5316047.0,5316047.0,76422.0,0.0,47.17,Weak
JIOFIN,Jio Financial Services Ltd,Financials,Diversified Financials,2024-03,86.52,84.0,1.15,1.1079433671814058,1.1203898007876505,0.0,198.8,0.0,0.0,0.0128,0.0128052021565202,10.784883720930232,763.0,-678.0,41.13207547169812,-0.4224299065420561,77.68194070080862,,,,,,,3.0,2.1903,0.0,4022.222222222222,5077.419354838709,,,144863.0,144863.0,132794.0,0.0,46.89,Weak
SBILIFE,SBI Life Insurance Company Ltd,Financials,Life Insurance,2024-03,1.43,0.0,12.7,0.4755221579767963,1.6500100610369577,0.0,240.3333,0.0,0.0,0.3314,0.3313791900054983,110.17362270450752,-2099.0,29122.0,-1.5902960875231082,15.375923970432948,23.6544231293754,,,,,,,19.0,1.4893,14.0,63.68371446996379,10.052295177222549,11.764705882352944,,398299.0,398299.0,13907.0,0.0,46.86,Weak
