company_id,company_name,alert_reason
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENSOL,Adani Energy Solutions Ltd,High Debt
ADANIENT,Adani Enterprises Ltd,High Debt
ADANIENT,Adani Enterprises Ltd,High Debt
ADANIENT,Adani Enterprises Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIGREEN,Adani Green Energy Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
ADANIPOWER,Adani Power Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
AXISBANK,Axis Bank Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJAJFINSV,Bajaj Finserv Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
BAJFINANCE,Bajaj Finance Ltd,High Debt
