broad_sector,health_score,market_cap_crore_final,return_on_equity_pct_final,debt_to_equity_final
Industrials,48.06086206896552,,1020.2793965517242,0.6449189655172414
Materials,47.58509433962264,,16.32245283018868,0.6574207547169811
Information Technology,47.45,,28.656440677966103,0.0661220338983051
Consumer Discretionary,47.426,,251.91848484848487,0.6527521212121212
Consumer Staples,47.076190476190476,,37.33392857142857,0.18809761904761904
Healthcare,46.92069444444444,,16.133333333333333,0.3848402777777778
Communication Services,46.75083333333333,,7.779583333333332,0.9990458333333333
Energy,46.56503311258278,,8.043112582781458,2.4813953642384106
Real Estate,46.55285714285714,,8.361428571428572,1.6897476190476193
Financials,46.35979423868313,,22.00292181069959,8.066683950617284
