company_id,year,issue,category,explanation
IRCTC,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
IRCTC,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
IRCTC,2024-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
IRFC,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
IRFC,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
IRFC,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ITC,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ITC,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ITC,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ITC,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ITC,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ITC,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ITC,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
JINDALSTEL,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
JINDALSTEL,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
