company_id,year,metric,difference,category
APOLLOHOSP,2014-03,ROCE,5.443462161536681,Version Difference
APOLLOHOSP,2015-03,ROCE,7.033462432223082,Version Difference
APOLLOHOSP,2016-03,ROE,6.75717887154862,Data Source Issue
APOLLOHOSP,2016-03,ROCE,10.388452805708724,Version Difference
APOLLOHOSP,2017-03,ROE,9.857073023536513,Data Source Issue
APOLLOHOSP,2017-03,ROCE,10.677248019878862,Version Difference
APOLLOHOSP,2018-03,ROE,11.964981549815498,Data Source Issue
APOLLOHOSP,2018-03,ROCE,10.582242850726155,Version Difference
APOLLOHOSP,2019-03,ROE,7.811199760047991,Data Source Issue
APOLLOHOSP,2019-03,ROCE,7.581047523904667,Version Difference
APOLLOHOSP,2021-03,ROE,10.833680208559635,Data Source Issue
APOLLOHOSP,2021-03,ROCE,10.729613146182814,Version Difference
APOLLOHOSP,2022-03,ROE,5.8947839231726835,Data Source Issue
ASIANPAINT,2016-03,ROCE,5.987733644859816,Version Difference
ASIANPAINT,2017-03,ROCE,9.180181283684469,Version Difference
ASIANPAINT,2018-03,ROE,6.503507728894171,Data Source Issue
ASIANPAINT,2018-03,ROCE,9.94859107681986,Version Difference
ASIANPAINT,2019-03,ROE,8.1367279062401,Data Source Issue
ASIANPAINT,2019-03,ROCE,12.623876378463535,Version Difference
ASIANPAINT,2020-03,ROCE,11.726884779516357,Version Difference
ASIANPAINT,2021-03,ROE,6.407051382164607,Data Source Issue
ASIANPAINT,2021-03,ROCE,12.503291603712498,Version Difference
ASIANPAINT,2022-03,ROE,9.114349840718216,Data Source Issue
ASIANPAINT,2022-03,ROCE,15.852214429508411,Version Difference
ASIANPAINT,2023-03,ROE,5.2181340670335175,Data Source Issue
ASIANPAINT,2023-03,ROCE,11.613319386331941,Version Difference
ASIANPAINT,2024-03,ROCE,9.998278464295819,Version Difference
ATGL,2018-03,ROCE,8.281745023295214,Version Difference
ATGL,2020-03,ROE,9.13970088375255,Data Source Issue
ATGL,2020-03,ROCE,7.446656134807792,Version Difference
BAJAJ-AUTO,2013-03,ROE,12.346869187848732,Data Source Issue
BAJAJ-AUTO,2013-03,ROCE,9.135374648575969,Version Difference
BAJAJ-AUTO,2014-03,ROE,6.7448116455198175,Data Source Issue
BAJAJ-AUTO,2014-03,ROCE,5.439956972423232,Version Difference
BAJAJ-AUTO,2017-03,ROCE,10.569425901201601,Version Difference
BAJAJ-AUTO,2018-03,ROE,5.8439412484700135,Data Source Issue
BAJAJ-AUTO,2018-03,ROCE,11.447045653655213,Version Difference
BAJAJ-AUTO,2019-03,ROE,5.288791804760468,Data Source Issue
BAJAJ-AUTO,2019-03,ROCE,12.385178525558693,Version Difference
BAJAJ-AUTO,2020-03,ROCE,11.180374518083347,Version Difference
BAJAJ-AUTO,2021-03,ROE,8.691178088219118,Data Source Issue
BAJAJ-AUTO,2021-03,ROCE,16.419617434474702,Version Difference
BAJAJ-AUTO,2022-03,ROE,5.849609832881207,Data Source Issue
BAJAJ-AUTO,2022-03,ROCE,16.860016009605765,Version Difference
BAJAJ-AUTO,2023-03,ROE,5.861078945575912,Data Source Issue
BAJAJ-AUTO,2023-03,ROCE,12.544292206470868,Version Difference
BAJAJ-AUTO,2024-03,ROCE,6.292641057200235,Version Difference
AXISBANK,2017-03,ROE,11.874636395885066,Data Source Issue
AXISBANK,2018-03,ROE,17.970140327378633,Data Source Issue
AXISBANK,2019-03,ROE,11.501973393115247,Data Source Issue
AXISBANK,2020-03,ROE,16.51558952976604,Data Source Issue
AXISBANK,2021-03,ROE,12.040558333494218,Data Source Issue
AXISBANK,2022-03,ROE,7.386225382839649,Data Source Issue
AXISBANK,2023-03,ROE,11.018333962598529,Data Source Issue
AXISBANK,2023-03,ROCE,5.812163917058492,Version Difference
BAJAJFINSV,2013-03,ROE,16.657339143809274,Data Source Issue
BAJAJFINSV,2014-03,ROE,11.808780068728522,Data Source Issue
BAJAJFINSV,2014-03,ROCE,5.664098684895382,Version Difference
BAJAJFINSV,2015-03,ROE,10.004231220128053,Data Source Issue
BAJAJFINSV,2015-03,ROCE,6.506701425095587,Version Difference
BAJAJFINSV,2016-03,ROE,8.685912199426427,Data Source Issue
BAJAJFINSV,2016-03,ROCE,7.686787217333521,Version Difference
BAJAJFINSV,2017-03,ROE,9.640906445421335,Data Source Issue
BAJAJFINSV,2017-03,ROCE,7.730722145484457,Version Difference
BAJAJFINSV,2018-03,ROE,8.667638529512276,Data Source Issue
BAJAJFINSV,2018-03,ROCE,8.807386107823342,Version Difference
BAJAJFINSV,2019-03,ROE,10.916899747262002,Data Source Issue
BAJAJFINSV,2019-03,ROCE,9.146704779179556,Version Difference
BAJAJFINSV,2020-03,ROE,7.428936170212767,Data Source Issue
BAJAJFINSV,2020-03,ROCE,9.9100770909825,Version Difference
BAJAJFINSV,2021-03,ROE,8.840982416969018,Data Source Issue
BAJAJFINSV,2021-03,ROCE,9.488114017201188,Version Difference
BAJAJFINSV,2022-03,ROE,8.937440306109773,Data Source Issue
BAJAJFINSV,2022-03,ROCE,10.767952697268477,Version Difference
BAJAJFINSV,2023-03,ROE,14.590685887904845,Data Source Issue
BAJAJFINSV,2023-03,ROCE,9.855438856930785,Version Difference
BAJAJFINSV,2024-03,ROE,14.130351412279536,Data Source Issue
BAJAJFINSV,2024-03,ROCE,9.69125536489903,Version Difference
BAJAJHLDNG,2013-03,ROCE,10.006718221362977,Version Difference
BAJAJHLDNG,2014-03,ROCE,9.808059004917077,Version Difference
BAJAJHLDNG,2015-03,ROCE,9.530971402971701,Version Difference
BAJAJHLDNG,2016-03,ROCE,10.327489701170471,Version Difference
BAJAJHLDNG,2017-03,ROCE,9.603535750364799,Version Difference
BAJAJHLDNG,2018-03,ROCE,11.711166223562557,Version Difference
BAJAJHLDNG,2019-03,ROCE,11.827367171267438,Version Difference
BAJAJHLDNG,2020-03,ROCE,12.14049264258351,Version Difference
BAJAJHLDNG,2021-03,ROCE,12.247521647052515,Version Difference
BAJAJHLDNG,2022-03,ROE,5.169263806544979,Data Source Issue
BAJAJHLDNG,2022-03,ROCE,12.324788155321723,Version Difference
BAJAJHLDNG,2023-03,ROCE,12.318520609824958,Version Difference
BAJAJHLDNG,2024-03,ROCE,10.286521819186152,Version Difference
BAJFINANCE,2015-03,ROCE,6.4445875059608975,Version Difference
BAJFINANCE,2016-03,ROCE,6.730378835597949,Version Difference
BAJFINANCE,2017-03,ROCE,6.498130841121496,Version Difference
BAJFINANCE,2018-03,ROE,6.3503785966683495,Data Source Issue
BAJFINANCE,2018-03,ROCE,7.030149869546751,Version Difference
BAJFINANCE,2019-03,ROCE,7.521882343241127,Version Difference
BAJFINANCE,2020-03,ROE,5.816901756990845,Data Source Issue
BAJFINANCE,2020-03,ROCE,6.432917216623287,Version Difference
BAJFINANCE,2021-03,ROE,10.127520450728642,Data Source Issue
BAJFINANCE,2021-03,ROCE,5.662162418719446,Version Difference
BAJFINANCE,2022-03,ROE,6.022402946491891,Data Source Issue
BAJFINANCE,2022-03,ROCE,6.398552250592261,Version Difference
BAJFINANCE,2023-03,ROCE,7.396233334071172,Version Difference
BAJFINANCE,2024-03,ROCE,7.733986412353192,Version Difference
BANKBARODA,2015-03,ROE,7.299266980817743,Data Source Issue
BANKBARODA,2016-03,ROE,28.54151706938334,Data Source Issue
BANKBARODA,2017-03,ROE,12.39275779599229,Data Source Issue
BANKBARODA,2018-03,ROE,20.642790877464243,Data Source Issue
BANKBARODA,2019-03,ROE,14.579845806967779,Data Source Issue
BANKBARODA,2020-03,ROE,15.410974456007567,Data Source Issue
BANKBARODA,2021-03,ROE,14.733741958975603,Data Source Issue
BANKBARODA,2022-03,ROE,8.064878250552416,Data Source Issue
BHARTIARTL,2013-03,ROE,10.395012121934741,Data Source Issue
BHARTIARTL,2013-03,ROCE,6.141910847614003,Version Difference
BHARTIARTL,2014-03,ROE,9.847787669857421,Data Source Issue
BHARTIARTL,2014-03,ROCE,5.092746144546339,Version Difference
BHARTIARTL,2017-03,ROE,8.61303200557392,Data Source Issue
BHARTIARTL,2018-03,ROE,11.759135687064068,Data Source Issue
BHARTIARTL,2018-03,ROCE,7.108923585578512,Version Difference
BHARTIARTL,2019-03,ROE,12.53661565602117,Data Source Issue
BHARTIARTL,2019-03,ROCE,10.856678909428958,Version Difference
BHARTIARTL,2020-03,ROE,54.648525503921185,Data Source Issue
BHARTIARTL,2020-03,ROCE,9.142116846294808,Version Difference
BHARTIARTL,2021-03,ROE,35.872639221074415,Data Source Issue
BHARTIARTL,2021-03,ROCE,5.940649775861602,Version Difference
BEL,2013-03,ROE,15157.033333333335,Data Source Issue
BEL,2013-03,ROCE,1742.0666666666666,Version Difference
BEL,2014-03,ROE,13573.7,Data Source Issue
BEL,2014-03,ROCE,2733.2571428571428,Version Difference
BEL,2015-03,ROE,17073.7,Data Source Issue
BEL,2015-03,ROCE,3035.0969696969696,Version Difference
BEL,2016-03,ROE,11115.366666666669,Data Source Issue
BEL,2016-03,ROCE,3211.345945945946,Version Difference
BEL,2017-03,ROE,10127.033333333335,Data Source Issue
BEL,2017-03,ROCE,3556.3090909090906,Version Difference
BEL,2018-03,ROE,4589.829032258064,Data Source Issue
BEL,2018-03,ROCE,2202.108860759494,Version Difference
BEL,2019-03,ROE,3824.720408163265,Data Source Issue
BEL,2019-03,ROCE,2643.525,Version Difference
BEL,2020-03,ROE,3291.881818181818,Data Source Issue
BEL,2020-03,ROCE,2376.511111111111,Version Difference
BEL,2021-03,ROE,3533.022033898305,Data Source Issue
BEL,2021-03,ROCE,2582.9925925925927,Version Difference
BEL,2022-03,ROE,3451.960869565217,Data Source Issue
BEL,2022-03,ROCE,2282.7228346456695,Version Difference
BEL,2023-03,ROE,3955.033333333333,Data Source Issue
BEL,2023-03,ROCE,3176.8035087719304,Version Difference
BEL,2024-03,ROE,4717.747619047619,Data Source Issue
BEL,2024-03,ROCE,3593.7464566929134,Version Difference
BHEL,2013-03,ROE,20.85906412648532,Data Source Issue
BHEL,2013-03,ROCE,22.3644190453274,Version Difference
BHEL,2014-03,ROE,9.507414609146544,Data Source Issue
BHEL,2014-03,ROCE,6.211865624339742,Version Difference
BHEL,2016-03,ROCE,10.332819283035109,Version Difference
BHEL,2020-03,ROE,6.17212142358688,Data Source Issue
BHEL,2020-03,ROCE,5.165002963841138,Version Difference
BHEL,2021-03,ROE,11.441409767925183,Data Source Issue
BHEL,2021-03,ROCE,14.665530484256804,Version Difference
BOSCHLTD,2013-12,ROCE,6.627481858885286,Version Difference
BOSCHLTD,2016-03,ROCE,5.034011476264999,Version Difference
BOSCHLTD,2020-03,ROE,8.988133764832794,Data Source Issue
BOSCHLTD,2020-03,ROCE,8.8277397260274,Version Difference
BOSCHLTD,2021-03,ROE,11.093148732566426,Data Source Issue
BOSCHLTD,2021-03,ROCE,12.277634909385442,Version Difference
BOSCHLTD,2022-03,ROCE,10.024774649196173,Version Difference
BOSCHLTD,2023-03,ROCE,7.731754924995482,Version Difference
BOSCHLTD,2024-03,ROCE,6.843080228042636,Version Difference
BPCL,2013-03,ROE,30.359016393442623,Data Source Issue
BPCL,2013-03,ROCE,23.59643515180646,Version Difference
BPCL,2014-03,ROE,21.051234567901233,Data Source Issue
BPCL,2014-03,ROCE,19.164572558564043,Version Difference
BPCL,2015-03,ROE,19.375401116922255,Data Source Issue
BPCL,2015-03,ROCE,18.04705955799725,Version Difference
BPCL,2016-03,ROE,12.796596387709574,Data Source Issue
BPCL,2016-03,ROCE,10.805404243679419,Version Difference
BPCL,2017-03,ROE,11.052146403192836,Data Source Issue
BPCL,2017-03,ROCE,14.555217600384712,Version Difference
BPCL,2018-03,ROE,15.159783172669922,Data Source Issue
BPCL,2018-03,ROCE,15.362877298796416,Version Difference
BPCL,2019-03,ROE,19.900773893976524,Data Source Issue
