id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_pct,earnings_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_sign,cfi_sign,cff_sign,capital_allocation_label,source_roce_percentage,source_roe_percentage,broad_sector,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,score_roe,score_opm,score_debt,score_icr,score_fcf,composite_quality_score
,COALINDIA,2017-03,11.872473261347935,84.0745100046057,37.84974304592544,228.13090222286792,7.8254783407962085,0.12293009217717596,0,12.364936042136945,Covered,0,1531.0,0.6591278976616324,16916.0,455.0,0.58,Asset Light,25.74,15.0,133.0,3014.0,16461.0,+,+,-,Liquidating Assets,63.6,52.0,Materials,,,,,,,,,,,,,,,,,,,1.97,High Quality,5.9640047911784055,78.67659246775818,99.96303897362537,43.31741502151063,38.41864164702331,51.4
,INDIGO,2024-03,11.852722628584697,76.29890862649484,892.568306010929,4953.540772532189,668.3306055646481,0.018579234972677595,0,22.612639724849526,Covered,0,-171.0,56.38625204582652,9424.0,11759.0,17.07,Capital Intensive,17.93,212.0,0.0,17.0,21183.0,+,-,-,Reinvestor,24.5,,Consumer Discretionary,,,,,,,,,,,,,,,,,,,0.82,Moderate,10.467142204874188,73.65965187396797,99.99441383650102,43.41053786837066,36.24374412150629,51.11
,HEROMOTOCO,2015-03,8.584501416224853,87.21766286585809,36.14678899082569,353.58433734939763,22.18884925849446,0.01529051987767584,0,73.94153846153846,Covered,0,-3018.0,2.5847568988173455,2217.0,31.0,0.11,Asset Light,9.23,118.0,51.0,100.0,2186.0,+,+,-,Liquidating Assets,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.955032672809146,80.70460424656365,99.99540264471887,43.876973405984266,34.1515809519386,51.04
,HEROMOTOCO,2024-03,9.902352536452407,86.14676228532112,21.14243742584327,173.7066375307293,14.308109968263679,0.03423922255494661,0,47.268505079825836,Covered,0,-12145.0,1.4449202768324858,3095.0,1828.0,4.84,Moderate,9.51,187.0,75.0,606.0,4923.0,+,-,-,Reinvestor,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.875981322074317,80.0136423089399,99.98970539446049,43.63459044099982,34.406460827459675,50.9
,HEROMOTOCO,2020-03,12.50769125589663,86.0873726669857,25.39913924753575,163.79298741503464,18.598149842431635,0.031445231153685964,0,17.571827057182706,Covered,0,-7906.0,1.4869370743112738,2699.0,2819.0,9.64,Capital Intensive,10.72,182.0,49.0,453.0,5518.0,+,-,-,Reinvestor,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.898408017904713,79.97532319089515,99.99054545557199,43.36473103782255,34.29150361708798,50.83
,HINDUNILVR,2013-03,14.216412383350615,84.37268552806991,133.99650959860384,779.6885813148789,31.74826331458816,0.008726003490401396,0,20.302760463045413,Covered,0,-2227.0,2.2332120410188554,3668.0,63.0,0.23,Asset Light,16.1,18.0,104.0,25.0,3605.0,+,+,-,Liquidating Assets,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.47055995498262,78.86898001632174,99.99737637839978,43.38954755293785,34.57280042731569,50.81
,HEROMOTOCO,2014-03,8.316518298714143,85.94263105835806,37.38218033078428,348.9927205011004,20.766646907725747,0.050506846878890274,0,50.54883720930233,Covered,0,-3822.0,2.497036158861885,1347.0,1616.0,6.39,Moderate,6.2,105.0,62.0,284.0,2963.0,+,-,-,Reinvestor,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.961541408204134,79.88193362311475,99.98481425608223,43.66439944758328,33.89902344430381,50.79
,HEROMOTOCO,2019-03,10.202820052397634,85.2079715051073,26.417682926829265,210.85467540202504,18.731085170773888,0.02378048780487805,0,39.08367071524966,Covered,0,-5802.0,1.8358733246865542,2330.0,1298.0,3.82,Moderate,8.05,172.0,50.0,312.0,1032.0,+,+,-,Liquidating Assets,29.1,22.0,Consumer Discretionary,,,,,,,,,,,,,,,,,,,1.54,High Quality,5.903774278038107,79.40791969723433,99.99284999123168,43.56021328288654,34.18438439833254,50.73
,HINDUNILVR,2014-03,13.532188547581583,83.72100978312923,111.84619734238055,674.8255651688529,28.762541806020064,0.013005371783997738,0,30.9229797979798,Covered,0,-2792.0,2.125490766322524,3343.0,475.0,1.62,Asset Light,13.66,18.0,71.0,46.0,3818.0,+,-,-,Reinvestor,27.2,20.2,Consumer Staples,,,,,,,,,,,,,,,,,,,1.27,High Quality,6.353859670037332,78.44850855182705,99.99608971342161,43.4860555209049,34.47845423193488,50.7
,BAJAJ-AUTO,2018-03,16.735422451408173,19.22253074176914,20.656058751529986,22.052954346344787,16.781353168131737,0.005924112607099143,0,6250.0,Covered,0,-18774.0,1.0027445209021122,2374.0,1954.0,7.75,Moderate,48.99,146.0,41.0,121.0,4328.0,+,-,-,Reinvestor,33.5,26.5,Consumer Discretionary,,,,,,,,,,,,,,,,,,,3.8,High Quality,5.8734188060597745,36.83307303692887,99.99821881462513,100.0,34.197157421707175,50.67
